カテゴリー,料理名,タンパク質,脂質,炭水化物,総カロリー,大盛りタンパク質,大盛り脂質,大盛り炭水化物,大盛り総カロリー,大盛りグラム数,画像パス,販売状態,表示順
ベース,ライス(120g)とサラダ,3.8,0.6,39.2,175.0,5.64,0.92,58.85,262.5,,images/half.webp,販売中,1
ベース,サラダ,0.8,0.1,2.7,12.0,0.48,0.06,1.55,7.0,,images/mix_salad.webp,販売中,2
ベース,ライス(200g),5.3,0.9,61.3,273.0,2.92,0.49,34.05,152,,images/fifteen_grain_rice.webp,販売中,3
ドレッシング,焙煎胡麻ドレッシング,0.6,0.4,3.8,22.0,0.6,0.4,3.8,22.0,,images/home_brew_sesame_dressing.webp,販売中,1
ドレッシング,和風オニオンドレッシング,0.3,0.1,2.9,13.0,0.3,0.1,2.9,13.0,,images/fragrant_onion_dressing.webp,販売中,2
ドレッシング,シラチャードレッシング,0.7,0.6,2.8,17.0,0.7,0.6,2.8,17.0,,images/spicy_lachacha_dressing.webp,販売中,3
副菜,ふんわりキクラゲ玉子,0.9,1.2,2.5,26.0,0.9,1.2,2.5,26.0,,images/soft_sea_urchin_tamago.webp,販売中,1
副菜,オクラと長芋の出汁胡麻和え,0.7,0.1,3.0,14.0,0.7,0.1,3.0,14.0,,images/okra_and_long_yam_neranner_sesame_dressing.webp,販売中,2
副菜,塩昆布の和風キャロットラペ,0.2,0.5,5.6,27.0,0.2,0.5,5.6,27.0,,images/salt_kelp_and_roasted_carrot_lap.webp,販売中,3
副菜,旨辛痺れ麻辣春雨,0.3,0.3,7.9,35.0,0.3,0.3,7.9,35.0,,images/spicy_malaxi_spring_rain.webp,販売中,4
副菜,メープルナッツとかぼちゃのご褒美サラダ,1.0,1.0,10.0,49.0,1.0,1.0,10.0,49.0,,images/maple_nuts_and_pumpkin_gourmet_salad.webp,販売中,5
副菜,4種きのこのアンチョビマリネ,0.9,0.5,2.2,16.0,0.9,0.5,2.2,16.0,,images/three_mushroom_ancho_marinade.webp,販売中,6
副菜,スパイスローストチキン,10.6,0.6,1.1,52.0,10.6,0.6,1.1,52.0,,images/salt_kelp_roasted_chicken.webp,販売中,7
副菜,塩麹仕立てのゆで卵,6.2,5.2,0.6,76.0,6.2,5.2,0.6,76.0,,images/salt_kelp_poached_egg.webp,販売中,8
副菜,たんぱく質が取れるビーンズサラダ,1.3,0.8,5.3,34.0,1.3,0.8,5.3,34.0,,images/broccoli_and_mixed_beans_salad.webp,販売中,9
主菜,照り焼き蓮根つくねバーグ,22.3,2.8,18.8,190.0,22.3,2.8,18.8,190.0,,images/teriyaki_pork_hamburger.webp,販売中,1
主菜,たらの黒酢あんかけ,21.2,1.2,6.9,115.0,21.2,1.2,6.9,115.0,,images/tara_vinegar_anakake.webp,販売中,2
主菜,香味バジルのチキンガパオ,24.1,2.1,7.1,141.0,24.1,2.1,7.1,141.0,,images/chicken_gapao.webp,販売中,3
主菜,やわらか鶏のすりおろし生姜焼き,23.7,1.5,9.4,145.0,23.7,1.5,9.4,145.0,,images/soft_chicken_ginger_roast.webp,販売中,4
SOUP,ホッとスープ,1.44,1.44,10.32,60.0,1.44,1.44,10.32,60.0,,images/soup.webp,販売中,1
DRINK,アイスコーヒー,0.20,0.00,0.70,4.0,0.20,0.00,0.70,4.0,,images/iced_coffee.webp,販売中,1
DRINK,アイスルイボスティー,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,,images/iced_rooibos_tea.webp,販売中,2
DRINK,アイス黒烏龍茶,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,,images/iced_black_oolong_tea.webp,販売中,3
DRINK,ホットコーヒー,0.20,0.00,0.70,4.0,0.20,0.00,0.70,4.0,,images/hot_coffee.webp,販売中,4
DRINK,ホットルイボスティー,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,,images/hot_rooibos_tea.webp,販売中,5
DRINK,ホット黒烏龍茶,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,,images/hot_black_oolong_tea.webp,販売中,6
DRINK,プロテインバナナスムージー,18.0,1.7,31.1,200.0,18.0,1.7,31.1,200.0,,images/protein_banana_smoothie.webp,販売中,7
DRINK,プロテインアサイースムージー,13.7,1.5,27.4,170.0,13.7,1.5,27.4,170.0,,images/protein_acai_smoothie.webp,販売中,8
その他,プロテインチョコバー,10.0,5.1,5.4,107.0,10.0,5.1,5.4,107.0,,images/food_protein_bar.webp,販売中,1
